Country,Question Text,Question Text (Short),Response,Education,Age,Weighted Mean,Question Context
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,Under 18,38,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,Under 18,37,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,Under 18,15,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,Under 18,6,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,Under 18,1,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,18 to 35,42,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,18 to 35,31,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Slowly,All Education,18 to 35,18,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Not at all,All Education,18 to 35,7,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Don't know,All Education,18 to 35,3,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Very quickly,All Education,36 to 59,41,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
Global,"How quickly should your country replace coal, oil, and gas with renewable energy, such as power from the wind or sun?",Renewable energy transition,Somewhat quickly,All Education,36 to 59,30,"Replacing fossil fuels with clean energy is critical to limiting climate change, but energy emissions are still rising today. We asked people how quickly they want this transition to happen."
